
3.71,2016-04-26 12:00:18.737198
3.69,2016-04-26 12:00:32.188684
3.68,2016-04-26 12:01:30.228398
3.68,2016-04-26 12:02:06.788201
3.69,2016-04-26 12:02:13.687164
3.69,2016-04-26 12:02:17.740021
3.68,2016-04-26 12:02:26.829350
3.67,2016-04-26 12:02:29.699056
3.68,2016-04-26 12:02:39.547914
3.67,2016-04-26 12:02:43.966258
3.68,2016-04-26 12:02:49.176207
3.68,2016-04-26 12:02:51.935607
3.67,2016-04-26 12:02:54.566667
3.68,2016-04-26 12:03:04.440088
3.68,2016-04-26 12:03:07.453673
3.68,2016-04-26 12:03:14.627377
3.69,2016-04-26 12:03:34.903616
3.68,2016-04-26 12:03:47.544943
3.69,2016-04-26 12:04:30.738477
3.68,2016-04-26 12:04:41.825655
3.69,2016-04-26 12:05:16.079770
3.68,2016-04-26 12:05:24.591557
3.70,2016-04-26 12:05:27.212092
3.70,2016-04-26 12:05:37.243437
3.69,2016-04-26 12:05:40.957893
3.70,2016-04-26 12:05:53.626291
3.70,2016-04-26 12:06:29.522798
3.69,2016-04-26 12:06:38.736462
3.70,2016-04-26 12:06:44.969156
3.69,2016-04-26 12:06:49.094199
3.69,2016-04-26 12:07:20.981972
3.70,2016-04-26 12:08:38.869690
3.69,2016-04-26 12:08:43.316185
3.70,2016-04-26 12:08:45.994906
3.69,2016-04-26 12:08:57.766668
3.70,2016-04-26 12:09:02.197600
3.70,2016-04-26 12:09:07.717462
3.70,2016-04-26 12:09:31.075698
3.69,2016-04-26 12:09:39.520942
3.70,2016-04-26 12:09:47.174084
3.70,2016-04-26 12:09:53.604446
3.70,2016-04-26 12:10:10.664426
3.70,2016-04-26 12:10:14.271649
3.70,2016-04-26 12:10:17.974114
3.69,2016-04-26 12:10:25.783664
3.69,2016-04-26 12:10:40.044647
3.70,2016-04-26 12:10:44.543267
3.69,2016-04-26 12:10:53.791223
3.70,2016-04-26 12:11:33.035144
3.69,2016-04-26 12:11:39.023799
3.69,2016-04-26 12:11:41.974753
3.71,2016-04-26 12:11:50.133248
3.70,2016-04-26 12:11:54.203719
3.71,2016-04-26 12:12:03.932445
3.70,2016-04-26 12:12:09.284372
3.70,2016-04-26 12:12:16.550980
3.71,2016-04-26 12:12:19.634289
3.71,2016-04-26 12:12:23.731829
3.71,2016-04-26 12:12:46.020953
3.70,2016-04-26 12:12:54.392361
3.71,2016-04-26 12:13:14.308173
3.70,2016-04-26 12:13:23.568672
3.71,2016-04-26 12:13:27.486208
3.73,2016-04-26 12:13:33.973726
3.72,2016-04-26 12:13:39.786367
3.71,2016-04-26 12:13:50.906689
3.71,2016-04-26 12:14:03.033710
3.72,2016-04-26 12:14:08.432717
3.72,2016-04-26 12:14:19.236895
3.71,2016-04-26 12:14:24.489066
3.72,2016-04-26 12:15:01.420498
3.71,2016-04-26 12:15:23.658216
3.72,2016-04-26 12:16:58.508439
3.71,2016-04-26 12:17:01.557671
3.71,2016-04-26 12:17:06.446394
3.72,2016-04-26 12:18:04.126373
3.71,2016-04-26 12:18:10.769387
3.72,2016-04-26 12:18:56.328144
3.71,2016-04-26 12:19:43.695634
3.72,2016-04-26 12:19:51.289143
3.71,2016-04-26 12:20:02.435773
3.72,2016-04-26 12:20:42.176196
3.72,2016-04-26 12:21:38.742949
3.71,2016-04-26 12:21:42.834447
3.71,2016-04-26 12:22:13.947264
3.72,2016-04-26 12:24:32.494215
3.72,2016-04-26 12:24:35.185970
3.71,2016-04-26 12:24:43.635286
3.64,2016-04-26 15:27:46.643595
3.65,2016-04-26 15:28:29.970546
3.65,2016-04-26 15:50:23.572202
