
3.68,2016-04-27 10:12:38.031961
3.78,2016-04-28 11:09:57.214718
3.77,2016-04-28 11:10:03.505765
3.78,2016-04-28 11:10:22.345861
3.76,2016-04-28 11:10:32.554933
3.76,2016-04-28 11:10:46.044013
3.78,2016-04-28 11:12:45.946866
3.77,2016-04-28 11:13:30.646873
3.78,2016-04-28 11:13:37.368600
3.77,2016-04-28 11:13:41.155823
3.79,2016-04-28 11:15:34.114253
3.79,2016-04-28 11:16:21.786250
3.79,2016-04-28 11:16:55.345015
3.77,2016-04-28 11:17:00.703735
3.78,2016-04-28 11:17:22.832702
3.79,2016-04-28 11:18:46.961120
3.78,2016-04-28 11:19:19.434565
3.79,2016-04-28 11:21:23.702033
3.80,2016-04-28 11:21:46.524282
3.79,2016-04-28 11:22:04.942631
3.78,2016-04-28 11:22:52.653201
3.79,2016-04-28 11:23:31.273700
3.78,2016-04-28 11:23:40.563292
3.79,2016-04-28 11:23:46.682379
3.79,2016-04-28 11:23:54.353148
3.78,2016-04-28 11:24:33.084922
3.79,2016-04-28 11:24:57.211706
3.78,2016-04-28 11:25:15.345275
3.79,2016-04-28 11:25:30.505858
3.80,2016-04-28 11:30:51.268462
3.80,2016-04-28 11:31:04.831630
3.80,2016-04-28 11:32:01.872464
3.80,2016-04-28 11:32:36.420483
3.79,2016-04-28 11:32:57.541591
3.79,2016-04-28 11:33:08.850164
3.80,2016-04-28 11:33:12.740671
3.80,2016-04-28 11:33:29.642865
3.78,2016-04-28 11:34:32.332702
3.77,2016-04-28 11:35:16.508240
3.77,2016-04-28 11:35:35.161235
3.78,2016-04-28 11:38:12.719692
3.79,2016-04-28 11:38:39.128638
3.79,2016-04-28 11:38:52.729959
3.78,2016-04-28 11:38:55.720011
3.79,2016-04-28 11:39:12.349035
3.79,2016-04-28 11:39:27.692093
3.78,2016-04-28 11:39:37.240926
3.79,2016-04-28 11:40:52.357787
3.78,2016-04-28 11:41:02.277582
3.79,2016-04-28 11:41:47.471377
3.79,2016-04-28 11:42:27.331727
